GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1400000US06059032011,06059032011,"Census Tract 320.11, Orange County, California",100282,23631
1400000US06059032012,06059032012,"Census Tract 320.12, Orange County, California",107917,20977
1400000US06059032013,06059032013,"Census Tract 320.13, Orange County, California",101250,16819
1400000US06059032014,06059032014,"Census Tract 320.14, Orange County, California",53944,8139
1400000US06059032015,06059032015,"Census Tract 320.15, Orange County, California",112569,18224
1400000US06059032020,06059032020,"Census Tract 320.20, Orange County, California",126761,12232
1400000US06059032022,06059032022,"Census Tract 320.22, Orange County, California",80067,13443
1400000US06059032023,06059032023,"Census Tract 320.23, Orange County, California",160482,12836
1400000US06059032027,06059032027,"Census Tract 320.27, Orange County, California",88053,8647
1400000US06059032028,06059032028,"Census Tract 320.28, Orange County, California",86758,10335
1400000US06059032029,06059032029,"Census Tract 320.29, Orange County, California",101442,16905
1400000US06059032030,06059032030,"Census Tract 320.30, Orange County, California",103565,11967
1400000US06059032031,06059032031,"Census Tract 320.31, Orange County, California",137969,28054
1400000US06059032032,06059032032,"Census Tract 320.32, Orange County, California",112830,12916
1400000US06059032033,06059032033,"Census Tract 320.33, Orange County, California",95119,12959
1400000US06059032034,06059032034,"Census Tract 320.34, Orange County, California",160625,23793
1400000US06059032035,06059032035,"Census Tract 320.35, Orange County, California",99798,6517
1400000US06059032036,06059032036,"Census Tract 320.36, Orange County, California",108958,15356
1400000US06059032037,06059032037,"Census Tract 320.37, Orange County, California",71290,8233
1400000US06059032038,06059032038,"Census Tract 320.38, Orange County, California",129020,9734
1400000US06059032039,06059032039,"Census Tract 320.39, Orange County, California",123167,22276
1400000US06059032040,06059032040,"Census Tract 320.40, Orange County, California",134205,25328
1400000US06059032041,06059032041,"Census Tract 320.41, Orange County, California",96029,19029
1400000US06059032042,06059032042,"Census Tract 320.42, Orange County, California",141146,10463
1400000US06059032043,06059032043,"Census Tract 320.43, Orange County, California",177935,14155
1400000US06059032044,06059032044,"Census Tract 320.44, Orange County, California",156731,15163
1400000US06059032045,06059032045,"Census Tract 320.45, Orange County, California",153625,21811
1400000US06059032046,06059032046,"Census Tract 320.46, Orange County, California",209095,9133
1400000US06059032047,06059032047,"Census Tract 320.47, Orange County, California",81094,6221
1400000US06059032048,06059032048,"Census Tract 320.48, Orange County, California",111061,8338
1400000US06059032049,06059032049,"Census Tract 320.49, Orange County, California",133346,22822
1400000US06059032050,06059032050,"Census Tract 320.50, Orange County, California",119342,15431
1400000US06059032051,06059032051,"Census Tract 320.51, Orange County, California",64238,6858
1400000US06059032053,06059032053,"Census Tract 320.53, Orange County, California",106645,9578
1400000US06059032054,06059032054,"Census Tract 320.54, Orange County, California",60667,14098
1400000US06059032055,06059032055,"Census Tract 320.55, Orange County, California",76250,23496
1400000US06059032056,06059032056,"Census Tract 320.56, Orange County, California",132708,30437
1400000US06059032057,06059032057,"Census Tract 320.57, Orange County, California",159504,18441
1400000US06059032058,06059032058,"Census Tract 320.58, Orange County, California",164909,9561
1400000US06059032059,06059032059,"Census Tract 320.59, Orange County, California",148021,11397
1400000US06059032061,06059032061,"Census Tract 320.61, Orange County, California",151723,27249
1400000US06059042103,06059042103,"Census Tract 421.03, Orange County, California",88766,16780
1400000US06059042106,06059042106,"Census Tract 421.06, Orange County, California",102857,35090
1400000US06059042107,06059042107,"Census Tract 421.07, Orange County, California",56198,10388
1400000US06059042108,06059042108,"Census Tract 421.08, Orange County, California",68919,11059
1400000US06059042109,06059042109,"Census Tract 421.09, Orange County, California",76989,21258
1400000US06059042111,06059042111,"Census Tract 421.11, Orange County, California",129289,14400
1400000US06059042112,06059042112,"Census Tract 421.12, Orange County, California",146875,23838
1400000US06059042113,06059042113,"Census Tract 421.13, Orange County, California",104444,20804
1400000US06059042114,06059042114,"Census Tract 421.14, Orange County, California",97093,16108
1400000US06059042201,06059042201,"Census Tract 422.01, Orange County, California",72311,17803
1400000US06059042203,06059042203,"Census Tract 422.03, Orange County, California",92379,12825
1400000US06059042205,06059042205,"Census Tract 422.05, Orange County, California",116167,24096
1400000US06059042206,06059042206,"Census Tract 422.06, Orange County, California",82106,10058
1400000US06059042305,06059042305,"Census Tract 423.05, Orange County, California",156875,30326
1400000US06059042307,06059042307,"Census Tract 423.07, Orange County, California",117844,12828
1400000US06059042310,06059042310,"Census Tract 423.10, Orange County, California",60218,10187
1400000US06059042311,06059042311,"Census Tract 423.11, Orange County, California",116705,20121
1400000US06059042312,06059042312,"Census Tract 423.12, Orange County, California",51359,13233
1400000US06059042313,06059042313,"Census Tract 423.13, Orange County, California",68726,8184
