GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
1400000US06059052426,06059052426,"Census Tract 524.26, Orange County, California",13582,545,8561,589,0,19,345,194,2815,366,1861,433
1400000US06059052427,06059052427,"Census Tract 524.27, Orange County, California",5613,265,4196,251,0,17,44,52,1026,229,347,149
1400000US06059052428,06059052428,"Census Tract 524.28, Orange County, California",6541,393,5076,386,14,22,21,33,912,309,518,168
1400000US06059052502,06059052502,"Census Tract 525.02, Orange County, California",6091,358,4401,339,8,12,60,54,934,176,688,218
1400000US06059052505,06059052505,"Census Tract 525.05, Orange County, California",5319,447,2974,344,26,40,118,55,1429,322,772,284
1400000US06059052506,06059052506,"Census Tract 525.06, Orange County, California",2499,151,1882,165,8,14,13,13,403,84,193,63
1400000US06059052511,06059052511,"Census Tract 525.11, Orange County, California",6025,447,4002,425,0,17,122,121,999,265,902,315
1400000US06059052513,06059052513,"Census Tract 525.13, Orange County, California",5492,470,4086,488,0,17,109,114,798,268,499,219
1400000US06059052514,06059052514,"Census Tract 525.14, Orange County, California",5598,415,3680,455,0,17,34,36,1314,308,570,179
1400000US06059052515,06059052515,"Census Tract 525.15, Orange County, California",9667,701,4714,677,19,30,198,217,2063,345,2673,704
1400000US06059052517,06059052517,"Census Tract 525.17, Orange County, California",12535,980,7740,966,77,74,192,210,2470,502,2056,579
1400000US06059052518,06059052518,"Census Tract 525.18, Orange County, California",5645,517,2801,420,0,17,86,77,699,203,2059,454
1400000US06059052519,06059052519,"Census Tract 525.19, Orange County, California",4418,322,2788,372,9,16,25,28,818,239,778,258
1400000US06059052520,06059052520,"Census Tract 525.20, Orange County, California",3610,241,2423,268,41,39,76,56,621,141,449,190
1400000US06059052521,06059052521,"Census Tract 525.21, Orange County, California",5195,650,2489,606,9,19,69,64,1187,311,1441,482
1400000US06059052522,06059052522,"Census Tract 525.22, Orange County, California",4220,230,1850,249,0,12,133,74,1395,207,842,266
1400000US06059052523,06059052523,"Census Tract 525.23, Orange County, California",4119,312,2331,284,0,12,68,47,927,212,793,246
1400000US06059052524,06059052524,"Census Tract 525.24, Orange County, California",8636,806,5980,637,14,24,95,64,1529,366,1018,425
1400000US06059052525,06059052525,"Census Tract 525.25, Orange County, California",17051,1114,9775,1100,0,19,184,134,3708,748,3384,834
1400000US06059052526,06059052526,"Census Tract 525.26, Orange County, California",4717,268,2648,299,0,12,13,21,1529,300,527,205
1400000US06059052527,06059052527,"Census Tract 525.27, Orange County, California",9224,503,5220,557,0,17,101,68,2468,449,1435,467
1400000US06059052528,06059052528,"Census Tract 525.28, Orange County, California",4039,341,2350,439,32,34,26,35,656,176,975,330
1400000US06059062604,06059062604,"Census Tract 626.04, Orange County, California",16188,1397,11817,1243,67,101,65,108,2106,857,2133,967
1400000US06059062605,06059062605,"Census Tract 626.05, Orange County, California",2926,234,2477,218,12,18,35,40,221,98,181,92
1400000US06059062610,06059062610,"Census Tract 626.10, Orange County, California",9192,633,4760,650,0,17,137,91,1622,374,2673,638
1400000US06059062611,06059062611,"Census Tract 626.11, Orange County, California",4643,305,2096,300,0,12,23,22,592,125,1932,362
1400000US06059062612,06059062612,"Census Tract 626.12, Orange County, California",8331,547,5192,610,13,20,70,64,2072,379,984,344
1400000US06059062614,06059062614,"Census Tract 626.14, Orange County, California",17232,968,12333,989,32,35,372,141,1307,260,3188,591
1400000US06059062619,06059062619,"Census Tract 626.19, Orange County, California",3959,323,3349,278,0,12,96,66,403,141,111,55
1400000US06059062620,06059062620,"Census Tract 626.20, Orange County, California",5273,492,4012,570,16,27,505,384,445,178,295,153
1400000US06059062621,06059062621,"Census Tract 626.21, Orange County, California",9388,553,5844,510,24,30,262,129,1907,299,1351,427
1400000US06059062622,06059062622,"Census Tract 626.22, Orange County, California",3889,288,2556,371,0,12,15,24,1169,254,149,88
1400000US06059062625,06059062625,"Census Tract 626.25, Orange County, California",4119,378,2653,353,8,12,38,29,623,175,797,320
1400000US06059062626,06059062626,"Census Tract 626.26, Orange County, California",3401,261,2280,326,0,12,35,34,357,128,729,256
1400000US06059062627,06059062627,"Census Tract 626.27, Orange County, California",3731,363,2405,326,0,12,33,33,664,152,629,180
1400000US06059062628,06059062628,"Census Tract 626.28, Orange County, California",3776,284,2234,246,21,28,57,38,733,121,731,172
1400000US06059062629,06059062629,"Census Tract 626.29, Orange County, California",2695,158,1779,158,0,12,60,37,616,107,240,88
1400000US06059062630,06059062630,"Census Tract 626.30, Orange County, California",1856,166,1287,190,0,12,16,18,399,94,154,68
1400000US06059062631,06059062631,"Census Tract 626.31, Orange County, California",3129,212,2217,203,0,12,37,31,710,142,165,104
1400000US06059062632,06059062632,"Census Tract 626.32, Orange County, California",3895,352,3217,338,0,12,24,26,558,145,96,49
1400000US06059062633,06059062633,"Census Tract 626.33, Orange County, California",6762,308,5310,315,9,15,87,50,977,160,379,142
1400000US06059062634,06059062634,"Census Tract 626.34, Orange County, California",5351,360,4145,316,0,17,68,54,867,159,271,130
1400000US06059062635,06059062635,"Census Tract 626.35, Orange County, California",4120,290,3085,386,20,23,68,46,749,183,198,87
1400000US06059062636,06059062636,"Census Tract 626.36, Orange County, California",3981,327,2894,277,36,47,58,44,657,186,336,175
1400000US06059062637,06059062637,"Census Tract 626.37, Orange County, California",4581,290,3386,333,68,85,45,43,550,171,532,204
1400000US06059062638,06059062638,"Census Tract 626.38, Orange County, California",6643,427,5111,464,21,28,0,17,904,214,607,304
1400000US06059062639,06059062639,"Census Tract 626.39, Orange County, California",7879,380,6362,392,0,17,166,122,940,249,411,168
1400000US06059062640,06059062640,"Census Tract 626.40, Orange County, California",3709,265,2851,277,0,12,37,33,498,110,323,118
1400000US06059062641,06059062641,"Census Tract 626.41, Orange County, California",5217,338,3855,344,0,17,13,29,653,161,696,218
1400000US06059062642,06059062642,"Census Tract 626.42, Orange County, California",2600,174,2219,192,0,12,14,20,344,109,23,24
1400000US06059062643,06059062643,"Census Tract 626.43, Orange County, California",7083,597,4664,644,0,17,177,107,1837,396,405,227
1400000US06059062644,06059062644,"Census Tract 626.44, Orange County, California",9122,638,7677,737,14,22,57,51,812,242,562,295
1400000US06059062645,06059062645,"Census Tract 626.45, Orange County, California",6778,653,4875,646,0,17,80,92,1387,324,436,250
1400000US06059062646,06059062646,"Census Tract 626.46, Orange County, California",3731,262,2298,269,11,18,71,54,1205,221,146,86
1400000US06059062647,06059062647,"Census Tract 626.47, Orange County, California",4447,473,2599,348,0,12,31,37,916,293,901,483
1400000US06059062648,06059062648,"Census Tract 626.48, Orange County, California",2677,164,1955,190,0,12,0,12,661,124,61,55
1400000US06059062649,06059062649,"Census Tract 626.49, Orange County, California",3285,172,2313,179,0,12,35,39,682,128,255,111
1400000US06059062701,06059062701,"Census Tract 627.01, Orange County, California",2648,334,2343,298,0,12,33,29,197,114,75,46
1400000US06059062702,06059062702,"Census Tract 627.02, Orange County, California",4767,342,4237,393,12,21,77,75,405,178,36,40
1400000US06059062800,06059062800,"Census Tract 628, Orange County, California",4034,511,3646,500,0,12,0,12,237,114,151,221
1400000US06059062900,06059062900,"Census Tract 629, Orange County, California",1562,156,1500,155,0,12,11,12,46,24,5,9
1400000US06059063004,06059063004,"Census Tract 630.04, Orange County, California",6378,579,5201,491,17,26,128,96,615,246,417,240
1400000US06059063005,06059063005,"Census Tract 630.05, Orange County, California",1430,163,1266,156,7,10,6,9,96,47,55,40
1400000US06059063006,06059063006,"Census Tract 630.06, Orange County, California",2799,334,2636,328,0,12,9,13,117,69,37,46
1400000US06059063007,06059063007,"Census Tract 630.07, Orange County, California",6439,577,5275,513,0,17,47,73,600,185,517,413
1400000US06059063008,06059063008,"Census Tract 630.08, Orange County, California",806,127,715,135,0,12,0,12,74,40,17,14
1400000US06059063009,06059063009,"Census Tract 630.09, Orange County, California",1677,111,1437,116,0,12,10,11,163,61,67,42
1400000US06059063010,06059063010,"Census Tract 630.10, Orange County, California",7086,572,6420,569,0,17,84,81,405,147,177,123
1400000US06059063101,06059063101,"Census Tract 631.01, Orange County, California",3077,230,2478,228,0,12,8,13,364,159,227,114
1400000US06059063102,06059063102,"Census Tract 631.02, Orange County, California",6729,364,6060,358,0,17,24,39,392,167,253,174
1400000US06059063103,06059063103,"Census Tract 631.03, Orange County, California",2659,311,2332,292,0,12,21,24,142,73,164,115
1400000US06059063201,06059063201,"Census Tract 632.01, Orange County, California",4059,347,3469,316,0,12,18,27,320,116,252,142
1400000US06059063202,06059063202,"Census Tract 632.02, Orange County, California",3776,301,3235,273,9,16,32,31,265,89,235,186
1400000US06059063301,06059063301,"Census Tract 633.01, Orange County, California",2886,271,2507,259,35,39,31,27,119,77,194,113
1400000US06059063302,06059063302,"Census Tract 633.02, Orange County, California",4232,319,3995,323,9,14,60,42,98,68,70,47
1400000US06059063400,06059063400,"Census Tract 634, Orange County, California",4921,388,4295,450,0,12,115,80,265,114,246,201
1400000US06059063500,06059063500,"Census Tract 635, Orange County, California",5806,609,5523,584,0,17,0,17,170,83,113,89
1400000US06059063601,06059063601,"Census Tract 636.01, Orange County, California",3655,273,3051,263,0,12,0,12,305,104,299,91
1400000US06059063603,06059063603,"Census Tract 636.03, Orange County, California",6554,591,5544,605,17,27,48,62,506,203,439,243
1400000US06059063604,06059063604,"Census Tract 636.04, Orange County, California",4298,407,2724,287,0,12,86,75,517,139,971,269
1400000US06059063605,06059063605,"Census Tract 636.05, Orange County, California",5445,423,3002,339,43,42,13,18,360,141,2027,432
1400000US06059063701,06059063701,"Census Tract 637.01, Orange County, California",5717,395,3285,271,8,14,59,56,531,145,1834,280
1400000US06059063702,06059063702,"Census Tract 637.02, Orange County, California",5926,555,4119,463,0,17,22,21,679,204,1106,258
1400000US06059063802,06059063802,"Census Tract 638.02, Orange County, California",2984,268,2547,268,0,12,55,41,205,115,177,127
1400000US06059063803,06059063803,"Census Tract 638.03, Orange County, California",4491,351,3459,271,0,12,51,33,499,195,482,242
1400000US06059063805,06059063805,"Census Tract 638.05, Orange County, California",2556,163,2198,176,0,12,35,30,224,71,99,45
1400000US06059063806,06059063806,"Census Tract 638.06, Orange County, California",3764,243,3027,227,54,78,36,35,355,105,292,128
1400000US06059063807,06059063807,"Census Tract 638.07, Orange County, California",5047,444,4052,415,0,17,97,90,513,212,385,175
1400000US06059063808,06059063808,"Census Tract 638.08, Orange County, California",6093,429,3160,364,0,17,100,93,657,203,2176,346
